sample_query,ground_truth_answer,source_document,category,page_reference
What did the Court in Rowley decline to establish?,The Court in Rowley declined ‘to establish any one test for determining the adequacy of educational benefits conferred upon all children covered by the Act.’,USREPORTS-580-386.pdf,judgment,12
What did the Supreme Court decide in Roe v. Wade?,Not answerable from provided documents,,unanswerable,
How is substantial value determined?,The organization determines whether the value of an item or benefit is substantial by using Revenue Procedures 90-12 and 92-49 and the inflation adjustment in Revenue Procedure 2024-40.,irs_publication_526_charitable_contributions.pdf,tax_doc,565
What type of payments are listed on Form 1120-POL?,Political organizations,irs_publication_525_taxable_and_nontaxable_income.pdf,tax_doc,41
How often does the Secretary disseminate information under the pilot program?,The Secretary shall disseminate such information no less than quarterly.,veterans_comprehensive_prevention_access_to_care_and_treatment_act_of.pdf,act,3
How should U.S. tax payments be remitted?,Payments of U.S. tax must be remitted to the IRS in U.S. dollars.,irs_publication_523_selling_your_home.pdf,tax_doc,25
How do federal appellate courts agree on the use of the Internet for CSAM?,"The First, Second, Third, and Fifth Circuits have taken the position that the government can satisfy the 'in interstate commerce' element of a statute simply by showing that the Internet was used.",crime_the_commerce_clause_and_the_internet_everycrsreportcom.pdf,pov,10
What is the current federal corporate tax rate for foreign banks operating in Germany?,Not answerable from provided documents,,unanswerable,
How many FTAs has the United States entered into between 1985 and 2020?,"The United States used the TPA framework to negotiate, approve, and implement several bilateral and regional FTAs. Between 1985 and 2020, the United States entered into 16 FTAs.",2025-09-25_R47679_df545388f704d28e5c7411a590b4bce0f19ef5ad.pdf,pov,11
What is required for a reverse QTIP election to be effective if GST exemption has been allocated to the trust?,A protective reverse QTIP election must also be made.,CFR-2025-title26-vol16-sec26-2653-1.pdf,tax_doc,768
What date did the CA5 issue its order?,"the CA5 issued its order on Apr. 18, 2025",a_a_r_p_et_al_v_trump_president_of_the.pdf,judgment,17
When does Executive Order 9937 become effective?,"This order shall become effective at the close of business in Washington, D.C., on June 29, 1951.",USCODE-2024-title22-chap15-subchapV-sec1382.pdf,act,3
What is the authority given to the Secretary concerned?,The authority includes the power to determine both the validity of claims for CRSC payments and the amount due on each claim.,see_illinois_surety_co_v_united_states_ex_rel_peeler.pdf,judgment,11
What is the meaning of 'plausibly' in a complaint?,"Plausibly does not mean 'probably,' but 'it asks for more than a sheer possibility that a defendant has acted unlawfully.'",smith_wesson_brands_inc_et_al_v_estados.pdf,judgment,13
What is the maximum amount that can be excluded from state or local income tax?,"The maximum amount is $9,500.",irs_publication_525_taxable_and_nontaxable_income.pdf,tax_doc,24
What does the term 'qualified dividend income' refer to?,The term 'qualified dividend income' is defined in section 1(h)(11)(B).,Jobs and Growth Tax Relief Reconciliation Act of 2003.pdf,act,12
How many congressional commissions were identified through a search of Congress.gov?,CRS identified 174 congressional commissions.,congressional_commissions_overview_and_considerations_for_congress_eve.pdf,pov,15
What is the amount being rescinded?,"$1,389,525,000 are hereby rescinded.",fiscal_responsibility_act_of_2023.pdf,act,23
"What is the maximum term of imprisonment for a person who violates subsection (b) when they know or have reasonable cause to believe that any firearm involved will be used to commit a felony, a Federal crime of terrorism, or a drug trafficking crime?",The person shall be sentenced to a term of imprisonment of not more than 25 years.,bipartisan_safer_communities_act.pdf,act,15
When was a TRO entered in Nat’l Council of Nonprofits v. Off. of Federal Funding?,"A TRO was entered on February 3, 2025.",nationwide_injunctions_in_the_first_hundred_days_of_the_second_trump_a.pdf,pov,8
How long has the rule against allowing jurors to testify about in-camera deliberations been in place?,For centuries.,USREPORTS-580-206.pdf,judgment,31
What percentage of the time do district courts impose a sentence within the Guidelines?,District courts impose a sentence within the Guidelines (or below the Guidelines based on a Government motion) over 80% of the time.,USREPORTS-580-256.pdf,judgment,20
What does the Due Process Clause sometimes demand?,Recusal even when a judge has no actual bias.,USREPORTS-580-285.pdf,judgment,3
What percentage of estates are under $11.4 million?,"The Under $11.4 category accounts for the smallest share of estates, with a total as a % of Estate ranging from 7.00% to 34.78% across different filing types.",The Estate and Gift Tax An Overview.pdf,pov,14
What is the value of controversy threshold for a trial by jury as per the Seventh Amendment?,The value in controversy shall exceed twenty dollars.,2026-04-03_R48896_eeb95035f2bad58ea962bf3029d88846ea4f5354.pdf,pov,13
What does the Administrator determine regarding a proposed project's risk to the environment?,"the proposed project poses a low risk to the environment, as determined by the Administrator",good_samaritan_remediation_of_abandoned_hardrock_mines_act_of_2024.pdf,act,7
How many constitutional points of order has the Senate voted on since 1989?,This report identifies 17 constitutional points of order that have been raised and received a Senate vote in relation thereto since 1989.,2025-11-26_R40948_e48177b6600db4a89af84c0c6ec18d8712472ef3.pdf,pov,2
